Review,Sentiment
the servers are not pleasant to deal with and they don t always honor pizza hut coupons,0
extremely tasty,1
i don t think i ll be running back to carly s anytime soon for food,0
worst service to boot but that is the least of their worries,0
an absolute must visit,1
the burrittos blah,0
the chips that came out were dripping with grease and mostly not edible,0
really really good rice all the time,1
the food was delicious our bartender was attentive and personable and we got a great deal,1
the veggitarian platter is out of this world,1
this place is pretty good nice little vibe in the restaurant,1
it was a huge awkward lb piece of cow that was ths gristle and fat,0
best buffet in town for the price you cannot beat it,1
